    0 0.000000 
    1 0.000000 
    2 0.000000 
    3 0.000000 
    4 0.000000 
    5 0.000000 
    6 0.000000 
    7 0.000000 
    8 0.000000 
    9 0.000003 
   10 0.000019 
   11 0.000078 
   12 0.000235 
   13 0.000581 
   14 0.001246 
   15 0.002469 
   16 0.004726 
   17 0.008769 
   18 0.015528 
   19 0.025882 
   20 0.040440 
   21 0.059418 
   22 0.082639 
   23 0.109631 
   24 0.139761 
   25 0.172354 
   26 0.206781 
   27 0.242498 
   28 0.279054 
   29 0.316080 
   30 0.353271 
   31 0.390362 
   32 0.427121 
   33 0.463335 
   34 0.498809 
   35 0.533367 
   36 0.566849 
   37 0.599117 
   38 0.630056 
   39 0.659572 
   40 0.687597 
   41 0.714084 
   42 0.739007 
   43 0.762360 
   44 0.784153 
   45 0.804414 
   46 0.823182 
   47 0.840505 
   48 0.856442 
   49 0.871057 
   50 0.884420 
   51 0.896602 
   52 0.907676 
   53 0.917717 
   54 0.926799 
   55 0.934992 
   56 0.942368 
   57 0.948995 
   58 0.954936 
   59 0.960254 
   60 0.965006 
   61 0.986002 
   62 0.994401 
   63 0.997760 
   64 0.999104 
   65 0.999642 
   66 0.999857 
   67 0.999943 
   68 0.999977 
   69 0.999991 
   70 0.999996 
   71 0.999999 
   72 0.999999 
   73 1.000000 
   74 1.000000 
   75 1.000000 
   76 1.000000 
   77 1.000000 
   78 1.000000 
   79 1.000000 
   80 1.000000 
   81 1.000000 
   82 1.000000 
   83 1.000000 
   84 1.000000 
   85 1.000000 
   86 1.000000 
   87 1.000000 
   88 1.000000 
   89 1.000000 
   90 1.000000 
   91 1.000000 
   92 1.000000 
   93 1.000000 
   94 1.000000 
   95 1.000000 
   96 1.000000 
   97 1.000000 
   98 1.000000 
   99 1.000000 
  100 1.000000 
  101 1.000000 
  102 1.000000 
  103 1.000000 
  104 1.000000 
  105 1.000000 
  106 1.000000 
  107 1.000000 
  108 1.000000 
  109 1.000000 
  110 1.000000 
  111 1.000000 
  112 1.000000 
  113 1.000000 
  114 1.000000 
  115 1.000000 
  116 1.000000 
  117 1.000000 
  118 1.000000 
  119 1.000000 
  120 1.000000 
  121 1.000000 
  122 1.000000 
  123 1.000000 
  124 1.000000 
  125 1.000000 
  126 1.000000 
  127 1.000000 
  128 1.000000 
