   10  9.009744    10  10.000000    10  10.000000    10  10.000000    10  10.000000    10  10.000000    10  10.000000 
   20  8.046235    20  -nan    20  -nan    20  -nan    20  -nan    20  -nan    20  -nan 
   30  8.046235    30  -nan    30  -nan    30  -nan    30  -nan    30  -nan    30  -nan 
   40  8.046235    40  -nan    40  -nan    40  -nan    40  -nan    40  -nan    40  -nan 
   50  8.046235    50  -nan    50  -nan    50  -nan    50  -nan    50  -nan    50  -nan 
   60  8.046235    60  -nan    60  -nan    60  -nan    60  -nan    60  -nan    60  -nan 
   70  8.046235    70  -nan    70  -nan    70  -nan    70  -nan    70  -nan    70  -nan 
   80  8.046235    80  -nan    80  -nan    80  -nan    80  -nan    80  -nan    80  -nan 
   90  8.046235    90  -nan    90  -nan    90  -nan    90  -nan    90  -nan    90  -nan 
  100  8.046235   100  -nan   100  -nan   100  -nan   100  -nan   100  -nan   100  -nan 
  110  8.046235   110  -nan   110  -nan   110  -nan   110  -nan   110  -nan   110  -nan 
  120  8.046235   120  -nan   120  -nan   120  -nan   120  -nan   120  -nan   120  -nan 
  130  8.046235   130  -nan   130  -nan   130  -nan   130  -nan   130  -nan   130  -nan 
  140  8.046235   140  -nan   140  -nan   140  -nan   140  -nan   140  -nan   140  -nan 
   10  9.009744    10  9.999839    10  10.000000    10  10.000000    10  10.000000    10  10.000000    10  10.000000 
   20  10.895423    20  19.385516    20  19.998772    20  20.000000    20  20.000000    10  9.009744    10  9.999839    10  10.000000    10  10.000000    10  10.000000    10  10.000000    10  10.000000 
   20  10.895423    20  19.385516    20  19.998772    20  20.000000    20  20.000000    20  20.000000    20  20.000000 
   30  10.943990    30  23.695292    30  29.608465    30  29.998030    30  29.999999    30  30.000000    30  30.000000 
   40  10.944442    40  24.251450    40  35.746964    40  39.747077    40  39.997901    40  39.999998    40  40.000000 
   50  10.944444    50  24.277173    50  37.409742    50  47.158881    50  49.835124    50  49.998117    50  49.999996 
   60  10.944444    60  24.277769    60  37.599783    60  50.240780    60  58.107950    60  59.891802    60  59.998455 
   70  10.944444    70  24.277778    70  37.610728    70  50.871203    70  62.626608    70  68.740384    70  69.928630 
   80  10.944444    80  24.277778    80  37.611102    80  50.939802    80  64.009910    80  74.540511    80  79.160691 
   90  10.944444    90  24.277778    90  37.611111    90  50.944249    90  64.250400    90  76.917403    90  86.020267 
  100  10.944444   100  24.277778   100  37.611111   100  50.944439   100  64.275905   100  77.508175   100  89.511150 
  110  10.944444   110  24.277778   110  37.611111   110  50.944444   110  64.277687   110  77.600699   110  90.658349 
  120  10.944444   120  24.277778   120  37.611111   120  50.944444   120  64.277774   120  77.610360   120  90.904566 
  130  10.944444   130  24.277778   130  37.611111   130  50.944444   130  64.277778   130  77.611071   130  90.940437 
  140  10.944444   140  24.277778   140  37.611111   140  50.944444   140  64.277778   140  77.611109   140  90.944144 
