   
   12		57.193476
   16		76.505687
   20		95.991501
   24		114.957380
   28		134.314211
   32		145.376078
   34		145.713911
   36		145.945382
   26		123.793651
   26		124.088364
   28		134.628046
   25		119.997625
   24		114.685164
   22		105.342582
   22		104.909261
   22		104.688539
   22		105.094863
   18		85.874766
   30		142.665667
   18		86.457818
   20		96.629671
   20		95.403700
   20		95.726409
   20		95.236845
   20		95.926384
   10		47.785527
   28		133.094738
   28		133.802522
   30		142.226347
   30		143.289089
   28		133.343707
   28		133.794651
   30		142.425197
   28		133.698663
   22		105.249969
   28		132.885764
   28		133.170479
   28		133.643795
   28		133.885764
   30		143.157230
   28		133.824772
   28		133.396575
   28		133.567554
   28		133.551056
   28		133.622047
   28		134.044494
   28		133.636670
   28		134.016498
   28		134.290089
   28		133.941757
   28		134.541432
   28		134.280340
   28		133.429446
   28		134.075116
   28		133.901137
   28		132.947382
   28		134.154481
