    0 0.000000 
    1 0.000000 
    2 0.000000 
    3 0.000000 
    4 0.000000 
    5 0.000000 
    6 0.000000 
    7 0.000000 
    8 0.000046 
    9 0.001321 
   10 0.004628 
   11 0.008199 
   12 0.011015 
   13 0.013552 
   14 0.016802 
   15 0.021953 
   16 0.030469 
   17 0.044081 
   18 0.064590 
   19 0.093557 
   20 0.131983 
   21 0.180065 
   22 0.237105 
   23 0.301569 
   24 0.371284 
   25 0.443714 
   26 0.516263 
   27 0.586539 
   28 0.652550 
   29 0.712824 
   30 0.766436 
   31 0.987128 
   32 0.998767 
   33 0.999621 
   34 0.999786 
   35 0.999849 
   36 0.999877 
   37 0.999890 
   38 0.999895 
   39 0.999898 
   40 0.999899 
   41 0.999900 
   42 0.999900 
   43 0.999900 
   44 0.999900 
   45 0.999900 
   46 0.999900 
   47 0.999900 
   48 0.999900 
   49 0.999900 
   50 0.999900 
   51 0.999900 
   52 0.999900 
   53 0.999900 
   54 0.999900 
   55 0.999900 
   56 0.999900 
   57 0.999900 
   58 0.999900 
   59 0.999900 
   60 0.999900 
   61 0.999900 
   62 0.999900 
   63 0.999900 
   64 0.999900 
   65 0.999900 
   66 0.999900 
   67 0.999900 
   68 0.999900 
   69 0.999900 
   70 0.999900 
   71 0.999900 
   72 0.999900 
   73 0.999900 
   74 0.999900 
   75 0.999900 
   76 0.999900 
   77 0.999900 
   78 0.999900 
   79 0.999900 
   80 0.999900 
   81 0.999900 
   82 0.999900 
   83 0.999900 
   84 0.999900 
   85 0.999900 
   86 0.999900 
   87 0.999900 
   88 0.999900 
