   40 0.817665 0.799958 
   45 0.998133 0.998051 
   22 0.115750 0.093109 
   32 0.569171 0.555431 
   30 0.475792 0.440153 
   29 0.425473 0.413631 
   26 0.272857 0.235589 
   29 0.425473 0.407959 
   41 0.927066 0.826239 
   34 0.649736 0.621407 
   38 0.772310 0.755061 
   33 0.611155 0.583455 
   29 0.425473 0.374249 
   41 0.927066 0.872622 
   32 0.569171 0.559711 
   24 0.184005 0.181442 
   24 0.184005 0.165580 
   41 0.927066 0.888286 
   31 0.523921 0.509316 
   40 0.817665 0.816330 
   23 0.147072 0.144090 
   40 0.817665 0.814808 
   32 0.569171 0.537403 
   30 0.475792 0.459700 
   36 0.716974 0.711876 
   34 0.649736 0.611406 
   29 0.425473 0.415920 
   41 0.927066 0.842695 
   41 0.927066 0.858632 
   42 0.970826 0.950669 
   37 0.746010 0.729390 
   35 0.684956 0.658589 
   42 0.970826 0.948720 
   41 0.927066 0.822499 
   25 0.226225 0.214020 
   29 0.425473 0.388873 
   26 0.272857 0.236129 
   30 0.475792 0.449609 
   40 0.817665 0.796832 
   20 0.068672 0.062368 
   21 0.089822 0.071016 
   32 0.569171 0.551893 
   34 0.649736 0.645823 
   30 0.475792 0.445265 
   29 0.425473 0.424514 
   25 0.226225 0.205534 
   34 0.649736 0.626707 
   33 0.611155 0.590094 
   22 0.115750 0.093820 
   23 0.147072 0.136023 
   29 0.425473 0.406424 
   26 0.272857 0.237910 
   42 0.970826 0.950831 
   42 0.970826 0.943828 
   36 0.716974 0.697609 
   35 0.684956 0.662707 
   32 0.569171 0.555234 
   22 0.115750 0.113529 
   31 0.523921 0.505402 
   29 0.425473 0.413866 
   20 0.068672 0.064198 
   26 0.272857 0.234792 
   21 0.089822 0.072455 
   16 0.018059 0.012918 
   20 0.068672 0.057291 
   27 0.322608 0.286475 
   29 0.425473 0.401791 
   27 0.322608 0.293420 
   37 0.746010 0.736084 
   25 0.226225 0.198622 
   28 0.373977 0.355788 
   40 0.817665 0.807101 
   38 0.772310 0.750515 
   12 0.001965 0.001611 
   26 0.272857 0.252366 
   24 0.184005 0.175030 
   25 0.226225 0.207146 
   41 0.927066 0.879073 
