   10  67.981203   10  68.223293   10  68.262696   10  68.266448
   20  120.424201   20  127.343922   20  130.525388   20  131.454276
   30  147.371129   30  166.412518   30  179.396527   30  181.566031
   40  156.768109   40  183.905170   40  202.149947   40  209.219984
   50  159.312220   50  189.133803   50  208.472645   50  220.670615
   60  159.864058   60  190.015692   60  210.110631   60  224.452573
