   10   2.941989724230843E+00   10   2.931550089664969E+00   10   2.929857900535495E+00   10   2.929696875030000E+00
   20   1.660795746730271E+00   20   1.570550028037577E+00   20   1.532268958164766E+00   20   1.521441574985585E+00
   30   1.357117916494985E+00   30   1.201832665966366E+00   30   1.114848783926549E+00   30   1.101527628033073E+00
   40   1.275769677494725E+00   40   1.087517008526010E+00   40   9.893645930326844E-01   40   9.559316271799488E-01
   50   1.255396478787100E+00   50   1.057452434527117E+00   50   9.593584790325990E-01   50   9.063281927679027E-01
   60   1.251062948344674E+00   60   1.052544647359734E+00   60   9.518794903279891E-01   60   8.910568375696573E-01
